left,bottom,right,top
610500.0009324999991804,267861.7822811100049876,611166.6679099999601021,268439.1328194899833761
610500.0009324999991804,268439.1328194899833761,611166.6679099999601021,269016.4833578700199723
610500.0009324999991804,269016.4833578700199723,611166.6679099999601021,269593.8338962499983609
610500.0009324999991804,269593.8338962499983609,611166.6679099999601021,270171.1844346299767494
610500.0009324999991804,270171.1844346299767494,611166.6679099999601021,270748.5349730100133456
611000.0011656299466267,262954.3027048900257796,611666.6681431300239637,263531.6532432700041682
611000.0011656299466267,263531.6532432700041682,611666.6681431300239637,264109.0037816499825567
611000.0011656299466267,264109.0037816499825567,611666.6681431300239637,264686.3543200300191529
611000.0011656299466267,264686.3543200300191529,611666.6681431300239637,265263.7048583999858238
611000.0011656299466267,265263.7048583999858238,611666.6681431300239637,265841.0553967800224200
611000.0011656299466267,265841.0553967800224200,611666.6681431300239637,266418.4059351600008085
611000.0011656299466267,266418.4059351600008085,611666.6681431300239637,266995.7564735399791971
611000.0011656299466267,266995.7564735399791971,611666.6681431300239637,267573.1070119200157933
611000.0011656299466267,267573.1070119200157933,611666.6681431300239637,268150.4575502999941818
611000.0011656299466267,268150.4575502999941818,611666.6681431300239637,268727.8080886799725704
611000.0011656299466267,268727.8080886799725704,611666.6681431300239637,269305.1586270600091666
611000.0011656299466267,269305.1586270600091666,611666.6681431300239637,269882.5091654399875551
611000.0011656299466267,269882.5091654399875551,611666.6681431300239637,270459.8597038200241514
611000.0011656299466267,270459.8597038200241514,611666.6681431300239637,271037.2102422000025399
611500.0013987499987707,262665.6274356999783777,612166.6683762499596924,263242.9779740800149739
611500.0013987499987707,263242.9779740800149739,612166.6683762499596924,263820.3285124599933624
611500.0013987499987707,263820.3285124599933624,612166.6683762499596924,264397.6790508399717510
611500.0013987499987707,264397.6790508399717510,612166.6683762499596924,264975.0295892200083472
611500.0013987499987707,264975.0295892200083472,612166.6683762499596924,265552.3801275899750181
611500.0013987499987707,265552.3801275899750181,612166.6683762499596924,266129.7306659700116143
611500.0013987499987707,266129.7306659700116143,612166.6683762499596924,266707.0812043499900028
611500.0013987499987707,266707.0812043499900028,612166.6683762499596924,267284.4317427300265990
611500.0013987499987707,267284.4317427300265990,612166.6683762499596924,267861.7822811100049876
611500.0013987499987707,267861.7822811100049876,612166.6683762499596924,268439.1328194899833761
611500.0013987499987707,268439.1328194899833761,612166.6683762499596924,269016.4833578700199723
611500.0013987499987707,269016.4833578700199723,612166.6683762499596924,269593.8338962499983609
611500.0013987499987707,269593.8338962499983609,612166.6683762499596924,270171.1844346299767494
611500.0013987499987707,270171.1844346299767494,612166.6683762499596924,270748.5349730100133456
