X,Y,field_1,feature_id,longitude,latitude,year,canton,accidentday,accidenttype,severity,accidenttypecode,roadtype,day,time,month-year,start-time,end-time
7.58813692198123,47.5498432981984,511,CC524B5D52120104E0430A8394276872,611254.998869694,266580.001482442,2012,BS,Sonntag / 03h-04h / September 2012,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Sonntag , 03h-04h , September 2012,300,04h 
7.59047633485543,47.5503259348845,512,CAAC8B90E971008CE0430A839427D02E,611430.999004526,266634.001309726,2012,BS,Freitag / 07h-08h / September 2012,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Freitag , 07h-08h , September 2012,700,08h 
7.58795076648608,47.5497805804034,513,C0AA2A85F1310026E0430A8394270BC4,611240.998883634,266573.001465895,2012,BS,Donnerstag / 18h-19h / Mai 2012,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Donnerstag , 18h-19h , Mai 2012,1800,19h 
7.59267226761083,47.5517170867705,514,B239767B3BA700DCE0430A83942700DC,611595.998163568,266789.001553554,2011,BS,Samstag / 09h-10h / November 2011,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Samstag , 09h-10h , November 2011,900,10h 
7.58792429811975,47.5498165897134,515,AD97F39DF4BA0036E0430A8394270036,611238.998853151,266577.001508013,2011,BS,Mittwoch / 21h-22h / September 2011,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Mittwoch , 21h-22h , September 2011,2100,22h 
7.58804425781448,47.5499603370928,516,A67000AE39CCF064E0430A865E33F064,611247.998770129,266593.001620384,2011,BS,Dienstag / 16h-17h / Mai 2011,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Dienstag , 16h-17h , Mai 2011,1600,17h 
7.59092491341641,47.5539048681504,517,5CFCF714DE4701B2E0530A839427B114,611463.998103373,267032.002025031,2017,BS,Mittwoch / 15h-16h / Oktober 2017,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Mittwoch , 15h-16h , Oktober 2017,1500,16h 
7.59023991536086,47.5559563134664,518,56F09D971D690052E0530A8394274F70,611411.999317565,267259.99974624,2017,BS,Montag / 23h-00h / Juli 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Montag , 23h-00h , Juli 2017,2300,00h 
7.59290518225856,47.5541720803132,519,5442F71BF21B01C0E0530A8394270308,611612.996801868,267062.002525356,2017,BS,Mittwoch / 08h-09h / Mai 2017,Überqueren der Fahrbahn,Unfall mit Schwerverletzten,5,Nebenstrasse,Mittwoch , 08h-09h , Mai 2017,800,09h 
7.58903111062421,47.5560298239011,520,5301E4F8D03E01AEE0530A8394272D70,611320.999318229,267267.999130571,2017,BS,Freitag / 16h-17h / Mai 2017,Fussgängerunfall,Unfall mit Schwerverletzten,8,Nebenstrasse,Freitag , 16h-17h , Mai 2017,1600,17h 
7.59342369846682,47.5543062976435,521,4A4A010CCBAC0084E0530A839427BFF6,611651.996551187,267077.002389638,2017,BS,Donnerstag / 14h-15h / Februar 2017,Abbiegeunfall,Unfall mit Leichtverletzten,3,Nebenstrasse,Donnerstag , 14h-15h , Februar 2017,1400,15h 
7.58790629214763,47.5576321489815,522,49BDC233A85701A8E0530A839427CC5F,611235.999457112,267445.998530819,2017,BS,Sonntag / 03h-04h / Februar 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0,Nebenstrasse,Sonntag , 03h-04h , Februar 2017,300,04h 
7.59335724571112,47.5542973925749,523,45A902669A8D00C8E0530A8394275E62,611646.996566357,267076.002436682,2016,BS,Mittwoch / 13h-14h / November 2016,Parkierunfall,Unfall mit Leichtverletzten,7,Nebenstrasse,Mittwoch , 13h-14h , November 2016,1300,14h 
7.59055769658018,47.5555781646348,524,3FD8F5610ECF0138E0530A839427C6DE,611435.999065197,267217.999961659,2016,BS,Freitag / 19h-20h / Juli 2016,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0,Nebenstrasse,Freitag , 19h-20h , Juli 2016,1900,20h 
7.5892599180879,47.5570728019463,525,393B906870CB001AE0530A8394272B7C,611337.999806744,267383.999164241,2016,BS,Mittwoch / 08h-09h / Juli 2016,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5,Nebenstrasse,Mittwoch , 08h-09h , Juli 2016,800,09h 
7.58731535821905,47.5553574871542,526,303090D58F3000A8E0530A83942731D6,611191.998951416,267192.998276991,2016,BS,Freitag / 15h-16h / April 2016,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Freitag , 15h-16h , April 2016,1500,16h 
7.58823691417306,47.5570831091907,527,28BA9144075101C4E0530A83942771DC,611260.999704888,267384.998720695,2015,BS,Mittwoch / 17h-18h / Dezember 2015,Fussgängerunfall,Unfall mit Schwerverletzten,8,Nebenstrasse,Mittwoch , 17h-18h , Dezember 2015,1700,18h 
7.58850152471699,47.5566870462337,528,216DCE20001F01CEE0530A8394276CAE,611280.999656288,267340.998857181,2015,BS,Freitag / 05h-06h / September 2015,Auffahrunfall,Unfall mit Leichtverletzten,2,Nebenstrasse,Freitag , 05h-06h , September 2015,500,06h 
7.59345032117656,47.5543242496496,529,1FEC7D3E83E5005EE0530A839427449E,611653.99653645,267079.002377087,2015,BS,Montag / 17h-18h / August 2015,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1,Nebenstrasse,Montag , 17h-18h , August 2015,1700,18h 
7.58848118505213,47.5541778313126,530,1F38C45090E00128E0530A839427FAC0,611279.998596832,267062.00017235,2015,BS,Dienstag / 19h-20h / Juli 2015,Einbiegeunfall,Unfall mit Leichtverletzten,4,Nebenstrasse,Dienstag , 19h-20h , Juli 2015,1900,20h 
7.59261228393186,47.5539566195592,531,170EFAA17A4000E6E0530A839427BE1B,611590.996924937,267038.002714973,2015,BS,Donnerstag / 12h-13h / April 2015,Überholunfall oder Fahrstreifenwechsel,Unfall mit Schwerverletzten,1,Nebenstrasse,Donnerstag , 12h-13h , April 2015,1200,13h 
