,feature_id,longitude,latitude,year,canton,accidentday,accidenttype,severity,accidenttypecode,roadtype
211,0612A838D87B0092E0530A83942790E6,610284.9997169722,268390.0004386253,2014.0,BS,Samstag / 01h-02h / September 2014,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Nebenstrasse
212,0733F582C2D70134E0530A839427DC01,610454.9998882131,268192.0002841449,2014.0,BS,Montag / 13h-14h / September 2014,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
213,00E6F9AD8E7901DCE0530A8394279DC2,610452.999847297,268299.000467181,2014.0,BS,Freitag / 17h-18h / Juli 2014,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
214,FEB07860BB290034E0430A839427503B,610419.9993768545,268502.00073878956,2014.0,BS,Mittwoch / 17h-18h / Juli 2014,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
215,EB9678CDDD7501D8E0430A839427635C,610459.999889291,268194.0002744217,2013.0,BS,Donnerstag / 21h-22h / November 2013,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
216,E825728C223A01B0E0430A8394270BB6,610639.9988541025,268656.0000045758,2013.0,BS,Montag / 07h-08h / September 2013,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
217,E853C4B43A7201ACE0430A839427D64C,610578.9999282418,268155.99996443425,2013.0,BS,Donnerstag / 17h-18h / September 2013,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
218,CB0F2EC6DE6A013CE0430A8394271BE0,610452.99988765,268192.0002888113,2012.0,BS,Samstag / 22h-23h / September 2012,Überqueren der Fahrbahn,Unfall mit Schwerverletzten,5.0,Nebenstrasse
219,C13E8ACA9CBB019CE0430A8394270F88,610578.999928098,268156.99996528705,2012.0,BS,Dienstag / 18h-19h / Mai 2012,Überqueren der Fahrbahn,Unfall mit Schwerverletzten,5.0,Nebenstrasse
220,BE0319D4774B0142E0430A8394270142,610181.9997866859,268571.99873088975,2012.0,BS,Freitag / 12h-13h / März 2012,Überholunfall oder Fahrstreifenwechsel,Unfall mit Schwerverletzten,1.0,Nebenstrasse
221,B51139C1286E010CE0430A839427010C,610176.9997648004,268606.99860409927,2011.0,BS,Mittwoch / 17h-18h / Dezember 2011,Abbiegeunfall,Unfall mit Schwerverletzten,3.0,Nebenstrasse
222,AA74DCCC843A003AE0430A839427003A,610578.9999282418,268155.99996443425,2011.0,BS,Freitag / 18h-19h / Juni 2011,Überqueren der Fahrbahn,Unfall mit Schwerverletzten,5.0,Nebenstrasse
223,5B69553E13C601B8E0530A8394279E76,610172.9995968398,268860.99763071275,2017.0,BS,Donnerstag / 16h-17h / September 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0.0,Nebenstrasse
224,494536F3C8FB0004E0530A83942741F0,610518.9992781779,268896.9984390243,2017.0,BS,Donnerstag / 06h-07h / Februar 2017,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
225,1D0727847D84012AE0530A8394275299,610339.9993459125,268791.99785760976,2015.0,BS,Freitag / 18h-19h / Juli 2015,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0.0,Nebenstrasse
226,0482066260F7000EE0530A83942738A6,610343.9993421977,268785.99790569587,2014.0,BS,Dienstag / 20h-21h / September 2014,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
227,04F76F4B8A3D01F6E0530A8394274CA1,610504.9992184552,268865.99826623563,2014.0,BS,Dienstag / 17h-18h / September 2014,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Nebenstrasse
228,FADD0A9AE88A01C6E0430A839427F628,610262.9994170106,268930.9971315871,2014.0,BS,Freitag / 07h-08h / Mai 2014,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
229,E5106E5841110044E0430A839427F68D,610329.9993687682,268915.99738560535,2013.0,BS,Dienstag / 09h-10h / August 2013,Abbiegeunfall,Unfall mit Schwerverletzten,3.0,Nebenstrasse
230,C2412EE0C79300DEE0430A8394270F4D,610481.9992884201,268896.99820558453,2012.0,BS,Montag / 14h-15h / Juni 2012,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1.0,Nebenstrasse
231,11F25B289D490154E0530A839427316E,611065.9999984753,265495.99990969634,2015.0,BL,Samstag / 16h-17h / März 2015,Fussgängerunfall,Unfall mit Schwerverletzten,8.0,Nebenstrasse
232,5C82D3A90CEE0116E0530A83942771FA,611001.0002111754,265782.0002497035,2017.0,BL,Montag / 13h-14h / August 2017,Fussgängerunfall,Unfall mit Leichtverletzten,8.0,andere
233,52EBFDA3D09901FCE0530A8394275CDE,610733.9994465417,265894.00053104607,2017.0,BL,Donnerstag / 00h-01h / Mai 2017,Frontalkollision,Unfall mit Schwerverletzten,6.0,Nebenstrasse
234,5211AB68CA46014EE0530A8394272ACE,610738.999483613,265927.00057528797,2017.0,BS,Freitag / 07h-08h / Mai 2017,Abbiegeunfall,Unfall mit Schwerverletzten,3.0,Hauptstrasse
235,42E3F5929B510046E0530A839427BFB4,610785.9998520165,266009.00070257887,2016.0,BS,Montag / 12h-13h / Oktober 2016,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
236,1F666555342E01A6E0530A8394275610,610747.9995513419,265924.0005714954,2015.0,BS,Dienstag / 22h-23h / August 2015,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Hauptstrasse
237,12322BFB652601F4E0530A839427F89A,611087.0005289614,266010.00046100456,2015.0,BS,Mittwoch / 17h-18h / März 2015,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1.0,Nebenstrasse
238,FFDE086C84C20188E0430A8394271157,610766.9997002024,265981.000655157,2014.0,BS,Donnerstag / 07h-08h / Juni 2014,Überholunfall oder Fahrstreifenwechsel,Unfall mit Schwerverletzten,1.0,Hauptstrasse
239,F96CE8ACD054022CE0430A8394272BA3,610905.0003070446,266114.0007890278,2014.0,BS,Dienstag / 08h-09h / Mai 2014,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1.0,Hauptstrasse
240,E10E9790C29D0186E0430A839427A696,610899.0003028036,266127.00081546564,2013.0,BS,Mittwoch / 09h-10h / Juni 2013,Fussgängerunfall,Unfall mit Leichtverletzten,8.0,Nebenstrasse
241,B7BFE48398190096E0430A8394270096,610837.0001571219,266039.0007471975,2012.0,BS,Montag / 07h-08h / Januar 2012,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
242,586F998F763D0138E0530A83942779B9,610984.9989062389,266675.00039417326,2017.0,BS,Mittwoch / 16h-17h / August 2017,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
243,5548909439D60094E0530A8394273178,611011.00038959,266204.00073939597,2017.0,BS,Freitag / 23h-00h / Juni 2017,Fussgängerunfall,Unfall mit Leichtverletzten,8.0,Nebenstrasse
244,4B77F28A75B402BAE0530A83942704B5,610743.0001170213,266660.9991375198,2017.0,BS,Samstag / 17h-18h / März 2017,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Hauptstrasse
245,4B2B846B0DBA0020E0530A839427171B,610843.9997337072,266576.99967264757,2017.0,BS,Mittwoch / 09h-10h / März 2017,Einbiegeunfall,Unfall mit Schwerverletzten,4.0,Nebenstrasse
246,48A326FEB9530064E0530A839427C8F1,611097.0005748587,266160.00058660534,2017.0,BS,Donnerstag / 07h-08h / Februar 2017,Überholunfall oder Fahrstreifenwechsel,Unfall mit Leichtverletzten,1.0,Nebenstrasse
247,3C747EA24B57013AE0530A8394279F34,611161.9981634422,266649.00244292483,2016.0,BS,Samstag / 00h-01h / August 2016,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0.0,Nebenstrasse
248,3A67E31C57D700BCE0530A8394279707,611002.0000295312,266298.0007842951,2016.0,BS,Dienstag / 18h-19h / August 2016,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
249,3796A6CCF1020126E0530A839427B714,611139.0006420028,266143.000517837,2016.0,BS,Samstag / 09h-10h / Juni 2016,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
250,365184AE92E701FEE0530A8394279889,610997.0000568642,266290.0007912576,2016.0,BS,Freitag / 19h-20h / Mai 2016,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
251,2DAD59F3FA03015AE0530A8394272BFD,610995.0000594676,266289.0007947181,2016.0,BS,Mittwoch / 20h-21h / Februar 2016,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
252,27E4483151A10126E0530A839427F3E8,611092.9993066189,266477.00097853696,2015.0,BS,Montag / 15h-16h / Dezember 2015,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
253,264CCBF0F07D0148E0530A83942769C6,611147.99842325,266608.0021019223,2015.0,BS,Mittwoch / 08h-09h / November 2015,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Nebenstrasse
254,231276F3557602FCE0530A8394276954,610995.0000556506,266290.00079504086,2015.0,BS,Samstag / 04h-05h / Oktober 2015,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
255,2106EF3F47EC018CE0530A83942731D4,611128.9987721288,266555.00165076344,2015.0,BS,Donnerstag / 16h-17h / September 2015,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
256,2341D6D356D601B8E0530A839427C14D,611118.9993042354,266482.0009631039,2015.0,BS,Mittwoch / 17h-18h / September 2015,Fussgängerunfall,Unfall mit Schwerverletzten,8.0,Nebenstrasse
257,1D0727847D02012AE0530A8394275299,611098.9994309725,266462.0008136515,2015.0,BS,Dienstag / 07h-08h / Juli 2015,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
258,171F92D2BEB501F6E0530A839427006E,610932.9991975367,266522.00081955217,2015.0,BS,Samstag / 13h-14h / April 2015,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
259,0D26BF911D0B013CE0530A839427B282,611017.9991027984,266489.00129267096,2014.0,BS,Samstag / 05h-06h / Dezember 2014,Andere,Unfall mit Leichtverletzten,99.0,Hauptstrasse
260,0FBCE5EF70330022E0530A8394271336,610881.0002728675,266135.00084927655,2015.0,BS,Freitag / 17h-18h / Januar 2015,Abbiegeunfall,Unfall mit Schwerverletzten,3.0,Nebenstrasse
261,0585274BB17F01B8E0530A8394274B39,610998.0000574728,266290.0007893624,2014.0,BS,Montag / 21h-22h / September 2014,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
262,04FA3EB64090007AE0530A8394275F71,611111.9990730995,266511.0012677829,2014.0,BS,Mittwoch / 13h-14h / August 2014,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
263,0133AAE5C5530196E0530A8394270B0A,610989.0000481713,266291.00080674735,2014.0,BS,Dienstag / 06h-07h / Juli 2014,Einbiegeunfall,Unfall mit Leichtverletzten,4.0,Nebenstrasse
264,0133AAE5C5D30196E0530A8394270B0A,611091.9993442799,266472.00093077024,2014.0,BS,Samstag / 09h-10h / Juli 2014,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
265,FFF6FC3217A1015EE0430A8394272C9A,611045.0004493654,266191.0006781097,2014.0,BS,Donnerstag / 21h-22h / Mai 2014,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Nebenstrasse
266,EA83EA23E1F5016AE0430A8394275A66,610983.998910787,266675.00038263487,2013.0,BS,Samstag / 16h-17h / Oktober 2013,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
267,E4EC0BF7F76C0040E0430A8394275C12,611136.998618017,266578.0018492545,2013.0,BS,Freitag / 14h-15h / August 2013,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
268,E0C185365E5E01EEE0430A839427259D,611145.9984402364,266605.00208000303,2013.0,BS,Mittwoch / 17h-18h / Juni 2013,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0.0,Nebenstrasse
269,CC3043A9EBFC002AE0430A839427E764,611076.9993562062,266468.0009268438,2012.0,BS,Dienstag / 14h-15h / Oktober 2012,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
270,C6AD3CE5FF250142E0430A839427DF5C,610703.0002142983,266547.99927289784,2012.0,BS,Dienstag / 05h-06h / Juli 2012,Abbiegeunfall,Unfall mit Leichtverletzten,3.0,Nebenstrasse
271,C0C6AA0E83860144E0430A839427F0E2,610873.9995015304,266570.99976369477,2012.0,BS,Samstag / 08h-09h / Mai 2012,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Nebenstrasse
272,ADFE599676860026E0430A8394270026,611029.9998094942,266362.00074717577,2011.0,BS,Sonntag / 23h-00h / September 2011,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Nebenstrasse
273,51C5A114F38F02F8E0530A839427FF6C,610913.9993542277,266787.99960162246,2017.0,BS,Freitag / 19h-20h / Mai 2017,Frontalkollision,Unfall mit Leichtverletzten,6.0,Nebenstrasse
274,51473BB267FC02FEE0530A839427BBB7,610873.9997673843,267050.99960700213,2017.0,BS,Dienstag / 13h-14h / Mai 2017,Fussgängerunfall,Unfall mit Leichtverletzten,8.0,Nebenstrasse
275,4C44C5FD877300BEE0530A839427B7A4,610701.0000767099,267252.99912494083,2017.0,BS,Mittwoch / 17h-18h / März 2017,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,0.0,Nebenstrasse
276,45D3370B27F00070E0530A839427DAE5,611101.9986569339,266927.9997191966,2016.0,BS,Donnerstag / 10h-11h / Dezember 2016,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Hauptstrasse
277,3E095E85E7E30030E0530A839427E396,610758.0000673936,267122.9991236724,2016.0,BS,Freitag / 12h-13h / September 2016,Parkierunfall,Unfall mit Leichtverletzten,7.0,Nebenstrasse
278,42FDD0E47F5C0022E0530A839427CC03,610838.9999133548,267056.9997213305,2016.0,BS,Sonntag / 18h-19h / August 2016,Überqueren der Fahrbahn,Unfall mit Leichtverletzten,5.0,Nebenstrasse
279,3BBE1AE628800006E0530A8394276781,610753.0000653729,267275.9990215288,2016.0,BS,Samstag / 19h-20h / August 2016,Schleuder- oder Selbstunfall,Unfall mit Schwerverletzten,0.0,Nebenstrasse
